Header,Value
Agency Name,European Space Agency
Agency Code,ESA
Program,Global Ocean Colour (GLOBCOLOR)
Project,Cockburn Sound Model Virtual Sensor
Tag,ESA-GC-REF
Data File Name,CMEMS_reflectance_point_7_RSreflectanceat490nm_profile_Data.csv
Location,data-warehouse/csv/ESA/globcolor/reflectance
Station Status,Active
Lat,-32.193
Long,115.351
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,ESA-globcolor-reflectance-Point_7
Site Description,Point 7
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var02730
Data Category,Light
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,RS reflectance at 490nm
QC,NaN
