Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-14 00:00:00,0.6,35.487,N
SALINITY (pss),1991-08-14 00:00:00,0.7,35.4622,N
SALINITY (pss),1991-08-14 00:00:00,0.8,35.4617,N
SALINITY (pss),1991-08-14 00:00:00,0.9,35.4616,N
SALINITY (pss),1991-08-14 00:00:00,1.1,35.4611,N
SALINITY (pss),1991-08-14 00:00:00,1.2,35.4526,N
SALINITY (pss),1991-08-14 00:00:00,1.3,35.4526,N
SALINITY (pss),1991-08-14 00:00:00,1.9,35.4445,N
SALINITY (pss),1991-08-14 00:00:00,3.3,35.4355,N
SALINITY (pss),1991-08-14 00:00:00,3.5,35.4518,N
SALINITY (pss),1991-08-14 00:00:00,3.9,35.4517,N
SALINITY (pss),1991-08-14 00:00:00,6.0,35.4594,N
SALINITY (pss),1991-08-14 00:00:00,7.6,35.4504,N
SALINITY (pss),1991-08-14 00:00:00,8.1,35.4502,N
SALINITY (pss),1991-08-14 00:00:00,9.6,35.4497,N
SALINITY (pss),1991-08-14 00:00:00,9.9,35.4496,N
SALINITY (pss),1991-08-14 00:00:00,10.6,35.4493,N
SALINITY (pss),1991-08-14 00:00:00,11.1,35.4491,N
SALINITY (pss),1991-08-14 00:00:00,12.3,35.4571,N
SALINITY (pss),1991-08-14 00:00:00,13.3,35.4568,N
SALINITY (pss),1991-08-14 00:00:00,13.9,35.4481,N
SALINITY (pss),1991-08-14 00:00:00,15.2,35.4561,N
SALINITY (pss),1991-08-14 00:00:00,17.0,35.4471,N
SALINITY (pss),1991-08-14 00:00:00,18.5,35.4465,N
SALINITY (pss),1991-08-14 00:00:00,19.5,35.4462,N
SALINITY (pss),1991-08-14 00:00:00,20.7,35.4457,N
SALINITY (pss),1991-08-14 00:00:00,21.9,35.4453,N
SALINITY (pss),1991-08-14 00:00:00,22.3,35.4452,N
SALINITY (pss),1991-08-14 00:00:00,23.6,35.4447,N
SALINITY (pss),1991-08-14 00:00:00,25.2,35.4442,N
SALINITY (pss),1991-08-14 00:00:00,26.5,35.4437,N
SALINITY (pss),1991-08-14 00:00:00,28.7,35.4429,N
SALINITY (pss),1991-08-14 00:00:00,30.0,35.4425,N
SALINITY (pss),1991-08-14 00:00:00,30.9,35.4421,N
SALINITY (pss),1991-08-14 00:00:00,31.9,35.4418,N
SALINITY (pss),1991-08-14 00:00:00,32.5,35.4416,N
SALINITY (pss),1991-08-14 00:00:00,34.3,35.4409,N
SALINITY (pss),1991-08-14 00:00:00,34.6,35.4408,N
SALINITY (pss),1991-08-14 00:00:00,35.4,35.4406,N
SALINITY (pss),1991-08-14 00:00:00,36.7,35.4401,N
SALINITY (pss),1991-08-14 00:00:00,37.0,35.4484,N
SALINITY (pss),1991-08-14 00:00:00,38.4,35.4395,N
SALINITY (pss),1991-08-14 00:00:00,39.9,35.4389,N
SALINITY (pss),1991-08-14 00:00:00,40.4,35.4388,N
SALINITY (pss),1991-08-14 00:00:00,41.3,35.4469,N
SALINITY (pss),1991-08-14 00:00:00,42.0,35.4466,N
SALINITY (pss),1991-08-14 00:00:00,42.9,35.4463,N
SALINITY (pss),1991-08-14 00:00:00,43.5,35.4461,N
SALINITY (pss),1991-08-14 00:00:00,44.9,35.4456,N
SALINITY (pss),1991-08-14 00:00:00,46.4,35.4451,N
SALINITY (pss),1991-08-14 00:00:00,47.4,35.4447,N
SALINITY (pss),1991-08-14 00:00:00,47.9,35.4445,N
SALINITY (pss),1991-08-14 00:00:00,49.3,35.444,N
SALINITY (pss),1991-08-14 00:00:00,49.9,35.4438,N
SALINITY (pss),1991-08-14 00:00:00,51.7,35.4432,N
SALINITY (pss),1991-08-14 00:00:00,52.2,35.4514,N
SALINITY (pss),1991-08-14 00:00:00,53.4,35.4426,N
SALINITY (pss),1991-08-14 00:00:00,54.3,35.4423,N
SALINITY (pss),1991-08-14 00:00:00,55.3,35.4419,N
SALINITY (pss),1991-08-14 00:00:00,56.0,35.4501,N
SALINITY (pss),1991-08-14 00:00:00,57.0,35.4497,N
SALINITY (pss),1991-08-14 00:00:00,57.2,35.4497,N
SALINITY (pss),1991-08-14 00:00:00,58.0,35.4494,N
SALINITY (pss),1991-08-14 00:00:00,58.5,35.4492,N
SALINITY (pss),1991-08-14 00:00:00,59.2,35.449,N
SALINITY (pss),1991-08-14 00:00:00,59.9,35.4487,N
SALINITY (pss),1991-08-14 00:00:00,61.1,35.4483,N
SALINITY (pss),1991-08-14 00:00:00,62.7,35.4477,N
SALINITY (pss),1991-08-14 00:00:00,63.8,35.4473,N
SALINITY (pss),1991-08-14 00:00:00,64.5,35.4471,N
SALINITY (pss),1991-08-14 00:00:00,65.1,35.4469,N
SALINITY (pss),1991-08-14 00:00:00,65.6,35.4467,N
SALINITY (pss),1991-08-14 00:00:00,65.9,35.4466,N
SALINITY (pss),1991-08-14 00:00:00,66.2,35.4465,N
SALINITY (pss),1991-08-14 00:00:00,66.8,35.4463,N
SALINITY (pss),1991-08-14 00:00:00,67.3,35.4461,N
SALINITY (pss),1991-08-14 00:00:00,68.6,35.4456,N
SALINITY (pss),1991-08-14 00:00:00,69.9,35.4616,N
SALINITY (pss),1991-08-14 00:00:00,72.3,35.4607,N
SALINITY (pss),1991-08-14 00:00:00,73.3,35.444,N
SALINITY (pss),1991-08-14 00:00:00,73.5,35.4439,N
SALINITY (pss),1991-08-14 00:00:00,73.8,35.4438,N
SALINITY (pss),1991-08-14 00:00:00,74.9,35.4434,N
SALINITY (pss),1991-08-14 00:00:00,75.0,35.4434,N
SALINITY (pss),1991-08-14 00:00:00,76.6,35.4428,N
SALINITY (pss),1991-08-14 00:00:00,77.5,35.4425,N
SALINITY (pss),1991-08-14 00:00:00,77.7,35.4588,N
SALINITY (pss),1991-08-14 00:00:00,79.5,35.4582,N
SALINITY (pss),1991-08-14 00:00:00,80.0,35.4664,N
SALINITY (pss),1991-08-14 00:00:00,80.9,35.4661,N
SALINITY (pss),1991-08-14 00:00:00,82.1,35.4657,N
SALINITY (pss),1991-08-14 00:00:00,82.5,35.4571,N
SALINITY (pss),1991-08-14 00:00:00,85.0,35.4562,N
SALINITY (pss),1991-08-14 00:00:00,85.6,35.456,N
SALINITY (pss),1991-08-14 00:00:00,86.4,35.4721,N
SALINITY (pss),1991-08-14 00:00:00,88.0,35.4636,N
SALINITY (pss),1991-08-14 00:00:00,88.4,35.4634,N
SALINITY (pss),1991-08-14 00:00:00,88.7,35.4633,N
SALINITY (pss),1991-08-14 00:00:00,90.2,35.4628,N
SALINITY (pss),1991-08-14 00:00:00,91.8,35.4622,N
SALINITY (pss),1991-08-14 00:00:00,92.0,35.4622,N
SALINITY (pss),1991-08-14 00:00:00,93.6,35.4616,N
SALINITY (pss),1991-08-14 00:00:00,93.7,35.4616,N
SALINITY (pss),1991-08-14 00:00:00,95.0,35.4611,N
SALINITY (pss),1991-08-14 00:00:00,95.5,35.4609,N
SALINITY (pss),1991-08-14 00:00:00,96.5,35.4606,N
SALINITY (pss),1991-08-14 00:00:00,98.1,35.4684,N
SALINITY (pss),1991-08-14 00:00:00,99.7,35.4679,N
SALINITY (pss),1991-08-14 00:00:00,100.6,35.4676,N
SALINITY (pss),1991-08-14 00:00:00,101.3,35.4509,N
SALINITY (pss),1991-08-14 00:00:00,101.4,35.4673,N
SALINITY (pss),1991-08-14 00:00:00,102.3,35.467,N
SALINITY (pss),1991-08-14 00:00:00,102.5,35.4505,N
SALINITY (pss),1991-08-14 00:00:00,104.3,35.4667,N
SALINITY (pss),1991-08-14 00:00:00,104.5,35.4666,N
SALINITY (pss),1991-08-14 00:00:00,105.7,35.4662,N
SALINITY (pss),1991-08-14 00:00:00,106.9,35.4742,N
SALINITY (pss),1991-08-14 00:00:00,108.8,35.4904,N
SALINITY (pss),1991-08-14 00:00:00,109.4,35.4817,N
SALINITY (pss),1991-08-14 00:00:00,110.6,35.4734,N
SALINITY (pss),1991-08-14 00:00:00,111.2,35.4652,N
SALINITY (pss),1991-08-14 00:00:00,111.3,35.4488,N
SALINITY (pss),1991-08-14 00:00:00,111.9,35.449,N
SALINITY (pss),1991-08-14 00:00:00,112.7,35.4576,N
SALINITY (pss),1991-08-14 00:00:00,113.3,35.4578,N
SALINITY (pss),1991-08-14 00:00:00,113.9,35.466,N
SALINITY (pss),1991-08-14 00:00:00,114.3,35.4743,N
SALINITY (pss),1991-08-14 00:00:00,115.4,35.3754,N
SALINITY (pss),1991-08-14 00:00:00,117.2,35.4591,N
SALINITY (pss),1991-08-14 00:00:00,118.4,35.4773,N
SALINITY (pss),1991-08-14 00:00:00,120.1,35.461,N
SALINITY (pss),1991-08-14 00:00:00,121.2,35.4852,N
SALINITY (pss),1991-08-14 00:00:00,121.9,35.4849,N
SALINITY (pss),1991-08-14 00:00:00,123.0,35.4926,N
SALINITY (pss),1991-08-14 00:00:00,123.6,35.5004,N
SALINITY (pss),1991-08-14 00:00:00,124.1,35.5247,N
SALINITY (pss),1991-08-14 00:00:00,125.5,35.5407,N
SALINITY (pss),1991-08-14 00:00:00,125.7,35.5402,N
SALINITY (pss),1991-08-14 00:00:00,126.8,35.5478,N
SALINITY (pss),1991-08-14 00:00:00,127.5,35.5881,N
SALINITY (pss),1991-08-14 00:00:00,129.0,35.595,N
SALINITY (pss),1991-08-14 00:00:00,129.7,35.5948,N
SALINITY (pss),1991-08-14 00:00:00,131.0,35.5859,N
SALINITY (pss),1991-08-14 00:00:00,131.8,35.594,N
SALINITY (pss),1991-08-14 00:00:00,132.5,35.5938,N
SALINITY (pss),1991-08-14 00:00:00,133.0,35.5936,N
SALINITY (pss),1991-08-14 00:00:00,133.3,35.5935,N
SALINITY (pss),1991-08-14 00:00:00,133.6,35.5934,N
SALINITY (pss),1991-08-14 00:00:00,134.5,35.6021,N
SALINITY (pss),1991-08-14 00:00:00,136.4,35.6103,N
SALINITY (pss),1991-08-14 00:00:00,137.3,35.635,N
SALINITY (pss),1991-08-14 00:00:00,137.9,35.6268,N
SALINITY (pss),1991-08-14 00:00:00,138.9,35.6264,N
SALINITY (pss),1991-08-14 00:00:00,139.7,35.6181,N
SALINITY (pss),1991-08-14 00:00:00,140.2,35.6345,N
SALINITY (pss),1991-08-14 00:00:00,141.0,35.6177,N
SALINITY (pss),1991-08-14 00:00:00,141.5,35.6095,N
SALINITY (pss),1991-08-14 00:00:00,142.9,35.634,N
SALINITY (pss),1991-08-14 00:00:00,143.5,35.6263,N
SALINITY (pss),1991-08-14 00:00:00,144.8,35.6428,N
SALINITY (pss),1991-08-14 00:00:00,145.1,35.6347,N
SALINITY (pss),1991-08-14 00:00:00,146.5,35.6272,N
SALINITY (pss),1991-08-14 00:00:00,146.7,35.6356,N
SALINITY (pss),1991-08-14 00:00:00,146.8,35.6441,N
SALINITY (pss),1991-08-14 00:00:00,147.5,35.6443,N
SALINITY (pss),1991-08-14 00:00:00,147.7,35.6442,N
SALINITY (pss),1991-08-14 00:00:00,148.1,35.6275,N
SALINITY (pss),1991-08-14 00:00:00,148.9,35.6694,N
SALINITY (pss),1991-08-14 00:00:00,150.9,35.6857,N
SALINITY (pss),1991-08-14 00:00:00,151.3,35.7022,N
SALINITY (pss),1991-08-14 00:00:00,152.8,35.7016,N
SALINITY (pss),1991-08-14 00:00:00,153.0,35.7181,N
SALINITY (pss),1991-08-14 00:00:00,153.1,35.7015,N
SALINITY (pss),1991-08-14 00:00:00,154.8,35.7009,N
SALINITY (pss),1991-08-14 00:00:00,155.4,35.7007,N
SALINITY (pss),1991-08-14 00:00:00,155.8,35.7006,N
SALINITY (pss),1991-08-14 00:00:00,156.5,35.7003,N
SALINITY (pss),1991-08-14 00:00:00,157.5,35.7085,N
SALINITY (pss),1991-08-14 00:00:00,158.3,35.7002,N
SALINITY (pss),1991-08-14 00:00:00,159.3,35.7083,N
SALINITY (pss),1991-08-14 00:00:00,160.6,35.7079,N
SALINITY (pss),1991-08-14 00:00:00,161.5,35.7076,N
SALINITY (pss),1991-08-14 00:00:00,161.8,35.6909,N
SALINITY (pss),1991-08-14 00:00:00,162.7,35.6825,N
SALINITY (pss),1991-08-14 00:00:00,163.7,35.6992,N
SALINITY (pss),1991-08-14 00:00:00,164.2,35.7076,N
SALINITY (pss),1991-08-14 00:00:00,164.4,35.7075,N
SALINITY (pss),1991-08-14 00:00:00,165.2,35.6911,N
SALINITY (pss),1991-08-14 00:00:00,166.0,35.7084,N
SALINITY (pss),1991-08-14 00:00:00,166.6,35.7173,N
SALINITY (pss),1991-08-14 00:00:00,167.1,35.7342,N
SALINITY (pss),1991-08-14 00:00:00,167.3,35.6762,N
SALINITY (pss),1991-08-14 00:00:00,168.4,35.711,N
SALINITY (pss),1991-08-14 00:00:00,168.8,35.6947,N
SALINITY (pss),1991-08-14 00:00:00,169.2,35.7117,N
SALINITY (pss),1991-08-14 00:00:00,170.5,35.7374,N
SALINITY (pss),1991-08-14 00:00:00,171.3,35.697,N
SALINITY (pss),1991-08-14 00:00:00,172.0,35.7063,N
SALINITY (pss),1991-08-14 00:00:00,173.6,35.7066,N
SALINITY (pss),1991-08-14 00:00:00,174.0,35.7318,N
SALINITY (pss),1991-08-14 00:00:00,174.3,35.6587,N
SALINITY (pss),1991-08-14 00:00:00,175.2,35.7264,N
SALINITY (pss),1991-08-14 00:00:00,175.3,35.7014,N
SALINITY (pss),1991-08-14 00:00:00,175.8,35.6011,N
SALINITY (pss),1991-08-14 00:00:00,177.8,35.6714,N
SALINITY (pss),1991-08-14 00:00:00,178.9,35.6557,N
SALINITY (pss),1991-08-14 00:00:00,179.4,35.6555,N
SALINITY (pss),1991-08-14 00:00:00,179.6,35.5888,N
SALINITY (pss),1991-08-14 00:00:00,180.2,35.6401,N
SALINITY (pss),1991-08-14 00:00:00,180.5,35.6321,N
SALINITY (pss),1991-08-14 00:00:00,180.6,35.5729,N
SALINITY (pss),1991-08-14 00:00:00,181.6,35.5912,N
SALINITY (pss),1991-08-14 00:00:00,182.6,35.5761,N
SALINITY (pss),1991-08-14 00:00:00,184.0,35.5926,N
SALINITY (pss),1991-08-14 00:00:00,184.7,35.602,N
SALINITY (pss),1991-08-14 00:00:00,184.9,35.5597,N
SALINITY (pss),1991-08-14 00:00:00,185.2,35.5682,N
SALINITY (pss),1991-08-14 00:00:00,185.4,35.594,N
SALINITY (pss),1991-08-14 00:00:00,186.3,35.5765,N
SALINITY (pss),1991-08-14 00:00:00,187.0,35.585,N
SALINITY (pss),1991-08-14 00:00:00,188.5,35.5418,N
SALINITY (pss),1991-08-14 00:00:00,189.5,35.5849,N
SALINITY (pss),1991-08-14 00:00:00,189.6,35.5849,N
SALINITY (pss),1991-08-14 00:00:00,189.9,35.5764,N
SALINITY (pss),1991-08-14 00:00:00,191.8,35.6361,N
SALINITY (pss),1991-08-14 00:00:00,193.0,35.6706,N
SALINITY (pss),1991-08-14 00:00:00,193.5,35.6289,N
SALINITY (pss),1991-08-14 00:00:00,194.3,35.7432,N
SALINITY (pss),1991-08-14 00:00:00,194.8,35.7352,N
SALINITY (pss),1991-08-14 00:00:00,196.0,35.7347,N
SALINITY (pss),1991-08-14 00:00:00,196.7,35.7263,N
SALINITY (pss),1991-08-14 00:00:00,198.4,35.7187,N
SALINITY (pss),1991-08-14 00:00:00,199.7,35.7632,N
SALINITY (pss),1991-08-14 00:00:00,199.9,35.7893,N
SALINITY (pss),1991-08-14 00:00:00,200.2,35.763,N
SALINITY (pss),1991-08-14 00:00:00,200.5,35.7806,N
SALINITY (pss),1991-08-14 00:00:00,200.7,35.7632,N
SALINITY (pss),1991-08-14 00:00:00,201.5,35.7802,N
SALINITY (pss),1991-08-14 00:00:00,202.3,35.7455,N
SALINITY (pss),1991-08-14 00:00:00,204.1,35.7625,N
SALINITY (pss),1991-08-14 00:00:00,204.5,35.7885,N
SALINITY (pss),1991-08-14 00:00:00,204.6,35.7623,N
SALINITY (pss),1991-08-14 00:00:00,205.0,35.771,N
SALINITY (pss),1991-08-14 00:00:00,205.8,35.771,N
SALINITY (pss),1991-08-14 00:00:00,206.1,35.7455,N
SALINITY (pss),1991-08-14 00:00:00,207.7,35.7629,N
SALINITY (pss),1991-08-14 00:00:00,208.0,35.7627,N
SALINITY (pss),1991-08-14 00:00:00,208.4,35.7714,N
SALINITY (pss),1991-08-14 00:00:00,209.5,35.771,N
SALINITY (pss),1991-08-14 00:00:00,210.6,35.7706,N
SALINITY (pss),1991-08-14 00:00:00,211.3,35.7703,N
SALINITY (pss),1991-08-21 00:00:00,0.1,35.54,N
SALINITY (pss),1991-08-21 00:00:00,0.5,35.54,N
SALINITY (pss),1991-08-21 00:00:00,0.6,35.5486,N
SALINITY (pss),1991-08-21 00:00:00,0.8,35.5649,N
SALINITY (pss),1991-08-21 00:00:00,1.7,35.5561,N
SALINITY (pss),1991-08-21 00:00:00,2.4,35.5643,N
SALINITY (pss),1991-08-21 00:00:00,2.6,35.5558,N
SALINITY (pss),1991-08-21 00:00:00,2.9,35.5473,N
SALINITY (pss),1991-08-21 00:00:00,3.9,35.5469,N
SALINITY (pss),1991-08-21 00:00:00,4.2,35.5468,N
SALINITY (pss),1991-08-21 00:00:00,5.0,35.5465,N
SALINITY (pss),1991-08-21 00:00:00,5.2,35.5465,N
SALINITY (pss),1991-08-21 00:00:00,6.4,35.546,N
SALINITY (pss),1991-08-21 00:00:00,7.4,35.5457,N
SALINITY (pss),1991-08-21 00:00:00,8.0,35.5455,N
SALINITY (pss),1991-08-21 00:00:00,9.4,35.545,N
SALINITY (pss),1991-08-21 00:00:00,10.2,35.5447,N
SALINITY (pss),1991-08-21 00:00:00,10.9,35.5444,N
SALINITY (pss),1991-08-21 00:00:00,11.2,35.5443,N
SALINITY (pss),1991-08-21 00:00:00,12.1,35.544,N
SALINITY (pss),1991-08-21 00:00:00,13.3,35.5436,N
SALINITY (pss),1991-08-21 00:00:00,13.7,35.5434,N
SALINITY (pss),1991-08-21 00:00:00,15.0,35.543,N
SALINITY (pss),1991-08-21 00:00:00,15.7,35.5427,N
SALINITY (pss),1991-08-21 00:00:00,15.9,35.5427,N
SALINITY (pss),1991-08-21 00:00:00,16.3,35.5425,N
SALINITY (pss),1991-08-21 00:00:00,17.4,35.5421,N
SALINITY (pss),1991-08-21 00:00:00,18.1,35.5419,N
SALINITY (pss),1991-08-21 00:00:00,18.2,35.5418,N
SALINITY (pss),1991-08-21 00:00:00,19.8,35.5413,N
SALINITY (pss),1991-08-21 00:00:00,20.4,35.5411,N
SALINITY (pss),1991-08-21 00:00:00,21.4,35.5407,N
SALINITY (pss),1991-08-21 00:00:00,23.3,35.54,N
SALINITY (pss),1991-08-21 00:00:00,23.6,35.5399,N
SALINITY (pss),1991-08-21 00:00:00,23.9,35.5398,N
SALINITY (pss),1991-08-21 00:00:00,25.1,35.5394,N
SALINITY (pss),1991-08-21 00:00:00,26.0,35.5391,N
SALINITY (pss),1991-08-21 00:00:00,26.8,35.5388,N
SALINITY (pss),1991-08-21 00:00:00,27.6,35.5385,N
SALINITY (pss),1991-08-21 00:00:00,28.4,35.5382,N
SALINITY (pss),1991-08-21 00:00:00,29.8,35.5377,N
SALINITY (pss),1991-08-21 00:00:00,30.9,35.5374,N
SALINITY (pss),1991-08-21 00:00:00,31.7,35.5371,N
SALINITY (pss),1991-08-21 00:00:00,32.6,35.5367,N
SALINITY (pss),1991-08-21 00:00:00,32.9,35.553,N
SALINITY (pss),1991-08-21 00:00:00,34.7,35.536,N
SALINITY (pss),1991-08-21 00:00:00,35.7,35.552,N
SALINITY (pss),1991-08-21 00:00:00,35.9,35.5519,N
SALINITY (pss),1991-08-21 00:00:00,37.2,35.5351,N
SALINITY (pss),1991-08-21 00:00:00,38.3,35.5347,N
SALINITY (pss),1991-08-21 00:00:00,39.9,35.5505,N
SALINITY (pss),1991-08-21 00:00:00,40.2,35.5504,N
SALINITY (pss),1991-08-21 00:00:00,40.6,35.5503,N
SALINITY (pss),1991-08-21 00:00:00,41.2,35.5337,N
SALINITY (pss),1991-08-21 00:00:00,42.3,35.5497,N
SALINITY (pss),1991-08-21 00:00:00,43.8,35.5491,N
SALINITY (pss),1991-08-21 00:00:00,44.6,35.5404,N
SALINITY (pss),1991-08-21 00:00:00,45.2,35.5402,N
SALINITY (pss),1991-08-21 00:00:00,47.4,35.5394,N
SALINITY (pss),1991-08-21 00:00:00,47.7,35.523,N
SALINITY (pss),1991-08-21 00:00:00,48.0,35.5476,N
SALINITY (pss),1991-08-21 00:00:00,48.9,35.5473,N
SALINITY (pss),1991-08-21 00:00:00,49.4,35.5472,N
SALINITY (pss),1991-08-21 00:00:00,50.6,35.5467,N
SALINITY (pss),1991-08-21 00:00:00,53.1,35.5458,N
SALINITY (pss),1991-08-21 00:00:00,54.0,35.5455,N
SALINITY (pss),1991-08-21 00:00:00,54.2,35.5455,N
SALINITY (pss),1991-08-21 00:00:00,55.6,35.545,N
SALINITY (pss),1991-08-21 00:00:00,56.9,35.5608,N
SALINITY (pss),1991-08-21 00:00:00,57.5,35.5443,N
SALINITY (pss),1991-08-21 00:00:00,58.3,35.544,N
SALINITY (pss),1991-08-21 00:00:00,59.3,35.56,N
SALINITY (pss),1991-08-21 00:00:00,60.4,35.5596,N
SALINITY (pss),1991-08-21 00:00:00,61.9,35.5506,N
SALINITY (pss),1991-08-21 00:00:00,63.5,35.5501,N
SALINITY (pss),1991-08-21 00:00:00,63.9,35.542,N
SALINITY (pss),1991-08-21 00:00:00,65.2,35.5579,N
SALINITY (pss),1991-08-21 00:00:00,65.4,35.5578,N
SALINITY (pss),1991-08-21 00:00:00,66.6,35.549,N
SALINITY (pss),1991-08-21 00:00:00,68.0,35.5485,N
SALINITY (pss),1991-08-21 00:00:00,68.2,35.5484,N
SALINITY (pss),1991-08-21 00:00:00,70.0,35.5478,N
SALINITY (pss),1991-08-21 00:00:00,72.3,35.5717,N
SALINITY (pss),1991-08-21 00:00:00,72.4,35.547,N
SALINITY (pss),1991-08-21 00:00:00,73.9,35.5464,N
SALINITY (pss),1991-08-21 00:00:00,74.4,35.5462,N
SALINITY (pss),1991-08-21 00:00:00,75.7,35.5458,N
SALINITY (pss),1991-08-21 00:00:00,76.3,35.5619,N
SALINITY (pss),1991-08-21 00:00:00,76.8,35.5454,N
SALINITY (pss),1991-08-21 00:00:00,77.3,35.5452,N
SALINITY (pss),1991-08-21 00:00:00,78.5,35.5448,N
SALINITY (pss),1991-08-21 00:00:00,79.7,35.5444,N
SALINITY (pss),1991-08-21 00:00:00,81.1,35.5602,N
SALINITY (pss),1991-08-21 00:00:00,81.4,35.5438,N
SALINITY (pss),1991-08-21 00:00:00,82.0,35.5436,N
SALINITY (pss),1991-08-21 00:00:00,83.3,35.5431,N
SALINITY (pss),1991-08-21 00:00:00,84.1,35.5428,N
SALINITY (pss),1991-08-21 00:00:00,85.0,35.5588,N
