Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-16 00:00:00,0.1,34.8,N
SALINITY (pss),1991-08-16 00:00:00,0.5,34.8,N
SALINITY (pss),1991-08-16 00:00:00,1.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,2.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,3.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,4.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,5.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,6.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,7.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,8.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,9.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,10.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,11.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,12.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,13.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,14.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,15.0,34.8,N
SALINITY (pss),1991-08-16 00:00:00,16.0,34.82,N
