Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-15 00:00:00,0.1,34.42,N
SALINITY (pss),1991-08-15 00:00:00,0.5,34.43,N
SALINITY (pss),1991-08-15 00:00:00,1.0,34.45,N
SALINITY (pss),1991-08-15 00:00:00,2.0,34.45,N
SALINITY (pss),1991-08-15 00:00:00,3.0,34.96,N
SALINITY (pss),1991-08-15 00:00:00,4.0,34.97,N
SALINITY (pss),1991-08-15 00:00:00,5.0,34.98,N
SALINITY (pss),1991-08-15 00:00:00,6.0,34.99,N
SALINITY (pss),1991-08-15 00:00:00,7.0,35.07,N
SALINITY (pss),1991-08-15 00:00:00,8.0,35.07,N
SALINITY (pss),1991-08-15 00:00:00,9.0,35.07,N
SALINITY (pss),1991-08-15 00:00:00,10.0,35.07,N
SALINITY (pss),1991-08-15 00:00:00,11.0,35.12,N
SALINITY (pss),1991-08-15 00:00:00,12.0,35.12,N
