Header,Value
Agency Name,The University of Western Australia
Agency Code,UWA
Program,Centre for Water Research (CWR)
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,UWA-CWR-SMCWS
Data File Name,NORTH_PERTH_V10_ActualConductivity_profile_Data.csv
Location,data-warehouse/csv/uwa/cwr/cwrctd
Station Status,Active
Lat,-31.859667
Long,115.032402
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,V10
Site Description,NORTH PERTH
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var02559
Data Category,Water Quality (PhysChm)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Actual Conductivity
QC,NaN
