Header,Value
Agency Name,European Space Agency
Agency Code,ESA
Program,Global Ocean Colour (GLOBCOLOR)
Project,Cockburn Sound Model Virtual Sensor
Tag,ESA-GC-PP
Data File Name,CMEMS_PP_polygon_6_PrimaryProduction_profile_Data.csv
Location,data-warehouse/csv/ESA/globcolor/pp
Station Status,Active
Lat,-32.6376
Long,115.5499
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,ESA-globcolor-pp-Ocean_Boundary_Polygon_6
Site Description,Ocean Boundary Polygon 6
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var02727
Data Category,Ecology (Benthic)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Primary Production
QC,NaN
