Variable,Date,Depth,Data,QC
TP,1991-04-24 00:00:00,16.0,0.024,N
TP,1991-05-06 00:00:00,16.0,0.026000000000000002,N
TP,1991-05-20 00:00:00,16.0,0.019,N
TP,1991-06-04 00:00:00,16.0,0.03,N
TP,1991-06-20 00:00:00,16.0,0.031,N
TP,1991-07-01 00:00:00,16.0,0.037,N
TP,1991-07-15 00:00:00,16.0,0.036000000000000004,N
TP,1991-07-29 00:00:00,16.0,0.026000000000000002,N
TP,1991-08-16 00:00:00,16.0,0.032,N
TP,1991-09-02 00:00:00,16.0,0.03,N
TP,1991-09-16 00:00:00,16.0,0.027,N
TP,1991-10-03 00:00:00,16.0,0.032,N
TP,1991-10-28 00:00:00,16.0,0.024,N
TP,1991-11-28 00:00:00,16.0,0.022,N
TP,1991-12-12 00:00:00,16.0,0.027,N
TP,1991-12-23 00:00:00,16.0,0.034,N
TP,1992-01-08 00:00:00,16.0,0.029,N
TP,1992-01-23 00:00:00,16.0,0.042,N
TP,1992-02-06 00:00:00,16.0,0.056,N
TP,1992-02-20 00:00:00,16.0,0.055,N
