Header,Value
Agency Name,European Space Agency
Agency Code,ESA
Program,Global Ocean Colour (GLOBCOLOR)
Project,Cockburn Sound Model Virtual Sensor
Tag,ESA-GC-TRA
Data File Name,CMEMS_transp_point_3_SecchiDepth_profile_Data.csv
Location,data-warehouse/csv/ESA/globcolor/transp
Station Status,Active
Lat,-31.939
Long,115.685
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,ESA-globcolor-transp-Point_3
Site Description,Point 3
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00140
Data Category,Light
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Secchi Depth
QC,NaN
