Header,Value
Agency Name,Mercator Ocean International
Agency Code,MOI
Program,Pelagic Interactions Scheme for Carbon and Ecosystem Studies (PISCES)
Project,Cockburn Sound Model Virtual Sensor
Tag,MOI-PISCES-BIO
Data File Name,CMEMS_bio_point_10_DissolvedOxygen_profile_Data.csv
Location,data-warehouse/csv/MOI/pisces/model_bio
Station Status,Active
Lat,-32.355
Long,115.441
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,MOI-pisces-model_bio-Point_10
Site Description,Point 10
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00023
Data Category,Water Quality (PhysChm)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Dissolved Oxygen
QC,NaN
