Header,Value
Agency Name,European Space Agency
Agency Code,ESA
Program,Ocean and Land Colour Instrument (OLCI)
Project,Cockburn Sound Model Virtual Sensor
Tag,ESA-SEN-CHLA
Data File Name,CMEMS_OLCI_CHL_polygon_1_Chlorophyll-a_profile_Data.csv
Location,data-warehouse/csv/ESA/sentinel/chla
Station Status,Active
Lat,-31.7129
Long,115.6559
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,ESA-sentinel-chla-Ocean_Boundary_Polygon_1
Site Description,Ocean Boundary Polygon 1
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00014
Data Category,Ecology (Planktonic)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a
QC,NaN
