Variable,Date,Depth,Data,QC
Derived DOP,1991-04-24 00:00:00,9.5,0.001999999999999999,N
Derived DOP,1991-05-06 00:00:00,9.5,0.005,N
Derived DOP,1991-05-20 00:00:00,9.5,0.005,N
Derived DOP,1991-06-04 00:00:00,9.5,0.018000000000000002,N
Derived DOP,1991-06-20 00:00:00,9.5,0.014000000000000002,N
Derived DOP,1991-07-01 00:00:00,9.5,0.016,N
Derived DOP,1991-07-15 00:00:00,9.5,0.008,N
Derived DOP,1991-07-29 00:00:00,9.5,0.015,N
Derived DOP,1991-08-16 00:00:00,9.5,0.014000000000000002,N
Derived DOP,1991-09-16 00:00:00,9.5,0.014000000000000002,N
Derived DOP,1991-10-03 00:00:00,9.5,0.015000000000000001,N
Derived DOP,1991-10-28 00:00:00,9.5,0.017,N
Derived DOP,1991-11-28 00:00:00,9.5,0.010000000000000002,N
Derived DOP,1991-12-12 00:00:00,9.5,0.010000000000000002,N
Derived DOP,1991-12-23 00:00:00,9.5,0.015000000000000001,N
Derived DOP,1992-01-08 00:00:00,9.5,0.016,N
Derived DOP,1992-01-23 00:00:00,9.5,0.018000000000000002,N
Derived DOP,1992-02-06 00:00:00,9.5,0.019000000000000003,N
Derived DOP,1992-02-20 00:00:00,9.5,0.018000000000000002,N
Derived DOP,1993-12-23 00:00:00,9.5,0.014000000000000002,N
Derived DOP,1994-01-20 00:00:00,9.5,0.013000000000000001,N
Derived DOP,1994-02-18 00:00:00,9.5,0.019000000000000003,N
Derived DOP,1994-03-17 00:00:00,9.5,0.007000000000000001,N
